"review_title","review_verbatim","role","status","location","date","rating"
"Good place to work","Relaxed work enviornment. Quality and production driven. Requires alot of sitting and repetitive tasks. Clean facility and updated office equipment. I would recommend PNC.","Payment processor","Current Employee","Richardson, TX","January 2, 2018","3.0"
"Too high of expecations","Started off a great place to work, after a short period of time you are expected to know or how to figure out everything on your own with no guidance which makes it extremely stressful. Managers get high bonuses when everyone hits there goals but the workers get very little bonus. Due to the managers getting a higher bonus they expect everyone to reach goal and if you dont your are heavily punished","Branch Sales and Service Representative","Former Employee","Bath, PA","January 2, 2018","2.0"
"Stressful, fast paced environment","This was a fast-paced job required to sell checking/savings accounts and also performing teller functions.  I learned to put myself out there and sell to people.  Management was highly concerned with selling and not so much the customer.  Hardest part of the job was having to sell a product to people who were grocery shopping.  The most enjoyable part of the job were the people I worked with and benefits.","TELLER","Former Employee","Mechanicsburg, PA","January 1, 2018","3.0"
"Great Benefits, Poor Coworkers","The training is as minimal as it gets. You're thrown to the sharks and coworkers are petty, rude, and disrespectful. It's insane how many people laugh at coworkers and customers behind their backs. Benefits are amazing - 10 weeks full paid maternity leave with 6 weeks full paid parental leave, and 3 weeks vacation. Awesome health insurance. Bonuses are very reasonable. Literally if it weren't for the disrespectful atmosphere and utter lack of competent training, PNC would be a great place to work.","Teller Supervisor","Current Employee","Florida","January 1, 2018","3.0"
"Productive","Great company to work for just not enough room for advancement due to more jobs out of North Carolina! Some management understanding & great to work with!","Default Specialist","Former Employee","Rocky Mount, NC","January 1, 2018","5.0"
"Very stressful place to work","PNC was an extremely stressful place to work with little to no understanding from the management team. Front line workers answering customer calls, inquiries, and complaints were repremanded when not fully satisfying and making the customer happy, even when it was something out of their control. Scores for customer surveys were taken very seriously, even on the occasion that it was clear that they representative was calm, attentive, and helpful to the best of their abilities, but the customer was still dissatisfied that their requests were not completed the way they wanted and a low score was given.","Credit Card Services Senior Consultant","Former Employee","Kalamazoo, MI","January 1, 2018","2.0"
"Fast paced, very stressful","Current management very good.  Past management-very much micro managed.  Culture is very competitive-pitting co-workers against each other.  Even though we as workers try to work as a team - in order to reach goals there are many times you must work as cut throat.  This makes for very stressful environment.  Once you've worked here for a length of time and reach the middle of the pay band scale it is very difficult to receive decent raises- 2% is considered a good raise.  The longer I work here the further I fall behind in just covering the cost of living.","Consumer Loan Fulfillment","Current Employee","Kalamazoo, MI","January 1, 2018","3.0"
"Competitive","Overall, a good place to work but no room to advance. Management is good and the workplace is relaxing. More job opportunities are needed, but hard to come by since parent company is located up North.","Analyst I","Current Employee","Jacksonville, FL","December 31, 2017","4.0"
"Great Place To Learn Banking","PNC has rigorously taught me more about banking in all its meaning. I truly appreciate their training and dedication in teaching new individuals to succeed.","Financial Consultant","Current Employee","Gaithersburg, MD","December 30, 2017","5.0"
"Hired for a particular position but that position was changed to a demotion.","The Wealth Management Team hired many of us as Banking Advisors with perks to come after 6 months. Position was changed to a Support Banker with no perks.","Banking Advisor","Current Employee","Cleveland, OH","December 30, 2017","4.0"
"Very Hard to Advance Career","It is very hard to move up within PNC, not much help in terms of guidance and development from managers. Education does not play a role in seeking career advancement.","Financial Consultant","Current Employee","Grand Rapids, MI","December 30, 2017","3.0"
"Stressful fact pace environment","The everyday work life can be stressful depending on the department you are in. However, stressful as it may be, PNC is innovative in the way content and help is provided to its employees to ensure they receive any help needed to perform to the best of their abilities.","Internal Support Specialist","Current Employee","Columbus, OH","December 30, 2017","3.0"
"It's an OK place to work","I'm very neutral about PNC as a place to work. As with all companies it depends on the area you work in. The call center often gives the wrong information when you call to seek advice which often is at odds with advice from management. Information does not always filter down to you so you find out the hard way, that you made a mistake and are held accountable. Senior management are too busy sitting in their ivory towers, making decisions which impact branch staff, without consulting the staff. They also have no idea about what is going on at branch level as they rarely, if at all, visit the branches. The job culture is extremely conservative & makes it hard to properly assist customers.","Service Associate","Personal Banker","Columbus, OH","December 30, 2017","3.0"
"I would recommend","PNC is a great place to work. The pay and benefits are excellent. The only current negative is that our region is working 6 day works weeks and meeting the sales quotas can be stressful.","Teller","Current Employee","Noblesville, IN","December 30, 2017","4.0"
"decent","it was an alright place to work. It is very fast pace in some departments in other departments it slow. I was in college at the time so it was the best paying job around","Core Services Consultant","Former Employee","Kalamazoo, MI","December 29, 2017","3.0"
"Worthwhile experience","I very much enjoyed my time working at PNC.  I was given plenty of opportunity to grow as an individual.  I learned a great deal that I will carry on with me throughout my life.","Teller Supervisor","Former Employee","Columbus Ohio","December 29, 2017","5.0"
"Bad Workplace","Very Unprofessional and health care is bad. I wouldn't recommend anyone to work there. Bad overall it will stress you out to work there. I can't stress enough that all personal there needs hr training.","PNC Bank Loan Support Analyst","Current Employee","Dayton, OH","December 28, 2017","1.0"
"Toxic work place","Avoid it if you can, really bad place to work, especially really bad management culture. Managers are incompetent and insecure of people that are more knowledgeable than them. Management takes all strategic decisions by themselves without consulting the technical team.","Consultant","Current Employee","Pittsburgh, PA","December 28, 2017","1.0"
"job review","this was a good company. Besides the low pay it is a perfect job for individuals are content doing this job forever. you have a good chance to travel with this company","Bank Operations","Former Employee","Louisville, KY","December 28, 2017","4.0"
"Good place to work","Very good place to work. Processes HEP files from entry to closing. Works as a liaison between departments. Helps clients to understand processes and requirements.","Loan Processing Analyst Sr","Current Employee","North Carolina","December 27, 2017","5.0"
"stressful and judgemental","If your looking to be judged on a daily bases and have everyone on your team see how good or bad your doing this job is great. Pay is great the people you work with and around are amazing.","Customer Service Representative","Former Employee","Columbus, OH","December 27, 2017","4.0"
"PNC is great","I think PNC is a great company to work for. The benefits are amazing and it is fairly easy to move ahead. Management is hit or miss depending or your line of business.","Commercial Transaction Coordinator","Current Employee","Ohio","December 27, 2017","4.0"
"Maintain information related to heavy equipment floorplan lines of credit","Responsible for reviewing loan documentation for clients, file UCC's and monitor changes to client status, request/complete subordination requests.  Provide back-up assistance to peers within department for advance request processing for floorplan lines of credit.","Loan Closing Analyst Sr","Former Employee","Brecksville, OH","December 27, 2017","2.0"
"Good place to build a career","Really good benefits and competitive pay as well as many opportunities in and out of branch to advance. Healthcare is good. One of the only banks left that offers pension in conjunction. You are vested in 3 years as well.","Branch Operations","Current Employee","Cleveland, OH 44118","December 27, 2017","5.0"
"definitely do research on your branch","I did not remember applying, but they reached out. I accepted the job. Salary is not the best but the company is amazing to work for. Management selection could definitely be better, but past branch management there are definitely some great leaders. Branch managers are very unprofessional as far as I've seen thus far and don't seem to work for the customer's best interest and often assistant branch managers (to my experience) pretend to be to busy for everything.","Service Manager","Current Employee","Mansell rd","December 27, 2017","2.0"
"I loved my the job I did as well as the people I worked with.","I loved it here. I loved the customers, the atmosphere, and the people I worked with. It's fast paced and you need to catch on quickly to avoid making substantial errors. As long as you're good with money, computers, and customer service it's a great job.","Customer Service","Former Employee","Orrville, OH","December 26, 2017","5.0"
"Good Company","If you get the right manager this place could be lots of fun - overall descent place to work - Great training for new hires.Always trying to improve it reputation.","None","None","Licensed Financial Sales Consultant (Former Employee)","Holland, PA","4.0"
"na","Pnc is a good company -for benefits pay is not idea but work environment changes based on branch -higher up is   not informed on what is going on with branch","Branch Sales and Service Associate","Current Employee","Palm Bay, FL 32905","December 26, 2017","1.0"
"Cares for its employees","Salary structure needs improvement so do the benefits.  Demanding customers.  Some customers are great to work with and very understanding.  Too many changes ALL the time so management is not effective.","Assistant Branch Manager II","Current Employee","Maryland","December 26, 2017","4.0"
"Management and promotions and pay big problems","Management gets away with everything. They are not held accountable for there actions. Promotions are based on who you know not what you know and how hard you work. Pay, well lets just say if you come from outside the company you will get paid a respectable wage. If you get a raise or a promotion from within the company don't expect to get the same. The company has great core values. The problem is not everybody within the company respect those core values. THIS CAN BE A VERY UNHAPPY PLACE TO WORK.","Employee","Former Employee","NJ","December 26, 2017","3.0"
"It's ok","The job is good, just that the hours are very longggg! You come in the morning and you do not leave until when it's very dark outside. The pay is very low too for all the work we do.","Service Associate I","Current Employee","Lanham, MD","December 26, 2017","3.0"
"Fun Place  to learn and grow","Great place to start and make a long term career
You are exposed to learning everything and the only limitation is your own self.
In 6 months extensive exposure to large volume cash handling, ATM, cash vaults. Company trains well and places confidence in you to handle stressful situations and make decisions. 
Was lucky to have really good managers and colleagues","None","None","Bank Teller (Former Employee)","Fords, NJ","5.0"
"Decent company","You typical day varies greatly depending on  your position there. IF you are customer facing, be aware there ARE sales goals for you to meet. PNC has been working to make itself a more competitive company, pay wise, and has been reinvesting in their current employees. The maternity leave here is GREAT.","WorkPlace Financial Sales Consultant","Former Employee","Lancaster, PA","December 22, 2017","4.0"
"Review","Love the hours monday through friday 8 to 5 with paid holidays and occasional weekends that you would work. You do get sick days as well and personal days.","Financial Consultant I","Former Employee","Wyoming, MI","December 22, 2017","4.0"
"good paying job","work in customer service so a typical work day is anwersing questions about one's mortgage (escrow, balane, payoff) it can be stresfful constant changes","Payoff Team","Current Employee","Miamisburg, OH","December 22, 2017","4.0"
"Great Benefits but a very obscure career development","Mostly people employed are of great character. Management is helpful but also restricted. Too much information is given at one time and employees are still expected to excel with very little time to grasp the work.","Loan Servicing Specialist","Current Employee","Pittsburgh, PA","December 21, 2017","3.0"
"Great job environment","Loved working there left only to pursue a higher education degree. My mentor and senior financial advisor was wonderful and helpful and took time to teach me.","Investments Associate","Former Employee","Louisville, KY","December 19, 2017","5.0"
"Never Work Here.","Currently work here as an application developer.  They simply do not respect your time of home life.  They will work you all kinds of crazy hours.  I have worked many 20 hour days.  Management does not follow PNC's rules and guidelines.  They're pretty much given free reign and aren't govern or checked, so basically, you're at the mercy of your manager whether you perform well or not.  Minorities have a harder time getting management positions.  They are overworking their skilled employees and underworking the people right out of college with no skills.  Very bizarre work environment.","Java and Oracle DB Developer","Current Employee","Pittsburgh, PA","December 18, 2017","1.0"
"Intensive work place","Hard place to work for. As the company grows employee benefits decrease. Not a work life balance. Pnc values new employees more than senior employees.  It's truly unfortunate","Bank Assistant Branch Manager Prospect Point","Current Employee","Prospect","December 18, 2017","3.0"
"recommend","good opportunity and training was adequate. communication of expectations and work related changes were timely. I think it was over-all a decent place to work.","Remote Mortgage Underwriter","Former Employee","Chicago, IL","December 17, 2017","3.0"
"Hard work fair pay","Hard work fair pay. No obvious path for advancement. Work was very demanding but rewarding. Genuine appreciation was recieved from managers on all projects.","Software Engineer III","Former Employee","Pittsburgh, PA","December 17, 2017","4.0"
"It was a job","I loved my branch manager but PNC def doesn't care much for their employees. They seem to always be looking for way to put more work on their employees without compensating accordingly. When I was there many people were leaving for other banks and industries because as a bank, they are only looking at the bottom line.","Personal Banker","Former Employee","Schaumburg, IL","December 16, 2017","2.0"
"Good company","PNC Bank is a great company to work for. PNC offers amazing benefits, good hours, great coworkers, and a lot more. I learned great customer service skills, conducting sales calls, and money management. I enjoyed being able to learn about the banking industry and travel a lot within the region to help out other branches while meeting a lot of good hard-working people. Hardest part of the job was adapting to a lot of change from software to new employees/managers every so often. Overall, PNC Bank taught me a lot skills and I believe it is a great stepping stone that will lead to better opportunities.","Universal Banker","Former Employee","Glenview, IL","December 16, 2017","4.0"
"Management issues","In the branch that I worked at it seemed as though you couldn't advance your career.  People wanted to hold you back.  They didn't want to see anyone succeed.","Licensed Financial Consultant","Former Employee","Martins Ferry, OH","December 15, 2017","3.0"
"Overall","The people were very nice. The working environment was fine. The pace was non-stop. But, working at the call center was not a good fit for my situation. T","Customer Care and Support Services Representative","Former Employee","Pittsburgh, PA 15212","December 15, 2017","3.0"
"PNC Review","I hate call centers, but as far as they go, PNC is a good one to work for.  I truly feel that this is a company that cares about its workers.  They are very accommodating for many different life events.","Customer Care Specialist","Current Employee","Pittsburgh, PA","December 14, 2017","4.0"
"Full Service Retail Bank","PNC Bank is a great place to work; however, the potential for job advancement is difficult for someone wishing to not work in a customer-facing environment in the Chicago Market.","Officer","Current Employee","Chicago, IL","December 14, 2017","3.0"
"Great Place to Work","A typical day at PNC would start off with a short meeting about goals and what the focus is for the day. You will get the opportunity to learn as much as you can. Management will hold you accountable for all goals no met and what ever areas you may be lacking. My suggestion for most would be to speak with your manager about your necessary improvements, draw up an action plan, and hold yourself to that plan. That's the best way to succeed. The workplace culture is very competitive because everyone has their own set of goals to meet. The hardest part of  the job is the stress that comes with the territory. The most enjoyable part of the job is having the fruits of your labor pay off and be recognized for it among your peers at an annual company wide recognition awards dinner. I LOVED working here. if you can manage stress well and are extremely competitive then this job is great for you.","Teller Supervisor II","Former Employee","Washington, DC","December 14, 2017","4.0"
"good company to work for","Great organization to work for , management cares for employees and provide good support when needed . Management was patient and honest lot of work and overtime as needed . staff consisted o  younger generation and older employees which shgw an adequate balance","Customer Service","Former Employee","Jacksonville, FL","December 14, 2017","4.0"
"it was alright","not the best not the worst but pay wise not anything to talk about.health benefits also were horrible and commission structure isn't the best, only good t get your foot into the banking industry","Service Consultant","Current Employee","Lincolnwood, IL","December 14, 2017","3.0"
"Sales and Service","This is a stressful place to work but can achieve goal with practice and learning. As I just started working here so it is too early to comment on other aspects.","Sales and Service Representative II","Current Employee","West Bloomfield Township, MI","December 13, 2017","4.0"
"Relaxing environment","Mainly just data entry.  It was very relaxed.  I truly enjoy data entry, especially 10 key and that's mainly what this job was.  Great people that I worked with.  The supervisor wasn't the best and I would have traded him for anyone else.","Data Processing Clerk","Former Employee","Springfield, IL","December 13, 2017","5.0"
"Productive and stressful place to work at","Experience started out great. Opportunities for bonuses, but they were very hard, and sometimes unattainable goals to reach.
 Started to become very stressful after about the first 6 months. Job security was questionable. Very high turn around rate.
 Work Life balance wasn't good at all!
 Great benefits.
 Learned the value of banking, and managing credit.","Financial Sales Consultant","Former Employee","Dumont, NJ","December 12, 2017","3.0"
"Pnc review","PNC is a great place to work! My manager was very supportive in everything, however many times the regional management liked to micro manage! It also seemed like they wanted us to work six days a week but still within the 40hrs!","Teller Lead","Former Employee","Philadelphia, PA","December 12, 2017","4.0"
"teller","I have learned a lot about the teller line
having patiently
no overtime, I like overtime for the holidays 
become stressful when balance at the end of the night","Teller I","Current Employee","Rocky Mount, NC","December 12, 2017","3.0"
"Worst place to work as very lacking in mgmt","I never recommend anyone going to solution architecture group as very poor mgmt and lack of budget forecasting. Very volatile environment and no proper laying out projects or work load distribution","Solution Architect","Current Employee","Pittsburgh, PA","December 12, 2017","1.0"
"Competitive workplace, nowhere to excel","Tellers would often bicker and get jealous from one another. A lot of pointless drama no matter what branch you're at. Turnover is so high that PNC gave the tellers raises but management shows a lack of appreciation for employees because they come and go. Pay was decent hours are not flexible because the bank is only open so many hours. Very strict policy and procedures because you're dealing with money and personal information of the customers. A lot of pressure to sell and be knowledgeable about products.","Teller","Former Employee","Ohio","December 11, 2017","4.0"
"Worst culture i have ever workef","Awful. Caustic work environment.  Turnover off chart. No matter which state you work in you will hear the same horror studies. If you don't mind hearng 50 times a day how bad you suck you will like it here. I hope you don't mind endless buearocracy.","Financial Specialist","Former Employee","Buckingham, PA","December 11, 2017","1.0"
"productive and pleasant atmosphere","I loved working for this company they work around family and work schedule always room for advancement managers always wiling to help  I would still be working but I want to work closer to home","Compliance analyst","Current Employee","pittsburgh pa","December 11, 2017","5.0"
"Sales driven and understaffed","Most locations are understaffed and floaters are not sent to necessary branches. Management rides you about sales goals all while reminding you ""not to push product"".","Services Representative","Former Employee","Laurinburg, NC","December 11, 2017","3.0"
"Very productive environment","They keep you moving not just mentally. Detail oriented people need apply. Sales goals are quite competitive along with others in your district and region. True team philosophy.","Teller","Former Employee","Mullica Hill, NJ","December 10, 2017","5.0"
"Work Life Balance","Allows up to one day per week working at home. The culture is relaxed but daily productivity is needed to make your goals.  Most individuals have been working at PNC for a number of years.","Underwriting Analyst","Current Employee","Columbus, OH","December 10, 2017","4.0"
"great start, not as great finish","when I started there was extensive training and the thought of helping individuals grow their finances, after a few months it became more about sales and getting production. main focus is on pushing, instead of financial wellbeing","Financial Consultant","Current Employee","Severna Park, MD","December 10, 2017","3.0"
"Never Again","I obviously quit my position at PNC for lack of advanced opportunities that were presented to me. I was constantly over goal each month. Not a great place to work.","Banker","Former Employee","Youngstown, OH","December 9, 2017","2.0"
"Good","Good place to work in, okay management. 
Monday to Saturday. most holidays off. The pay is better than any other bank. good environment. will learn a lot","Financial Consultant","Current Employee","Illinois","December 8, 2017","4.0"
"A productive and steady work enviornment","A typical day at work involved a steady flow of calls.  I learned a lot about account handling and opening accounts and how to take more calls in a call center setting than I had before.","Financial Sales Consultant","Former Employee","Riverdale, MD","December 8, 2017","5.0"
"great place to work","PNC was a great starting place for me in the financial institution industry.  I left my job with PNC for an advancement opportunity within the bank with PFPC Trust Company.","Data Control Clerk","Former Employee","Philadelphia, PA","December 8, 2017","3.0"
"Terrible management","Terrible management, they put a lot on with little pay, referral expectations is out of this world, you do something good no praise and soon as you mess up the whole world has ended, and there just no respect. Only good thing about being a teller was my fellow colleagues.","PNC bank teller and lobby management","Former Employee","Clinton, MD","December 8, 2017","2.0"
"Don't get pregnant or have small children","If you get pregnant your days are numbered, and depending on what area your branch is in, don't expect diversity. I was bullied while pregnant, made to lift heavy things and my lunch was my only break.","Branch Sales and Service Representative","Former Employee","Centerville, OH","December 8, 2017","2.0"
"overall good","Working at PNC was enjoyable with the branch personnel.  Fast paced with an emphasis on sales, rather than customer service for beginning employees.  Great schedule.","Teller","Former Employee","Lagrange, KY","December 8, 2017","4.0"
"no comments","good bank, very good training and management ,  workplace culture good, good learning experiences, very busy branches, bank believes
in career advancement for their employees.","None","None","Senior Financial Sales Consultant (Former Employee)","chews landing","3.0"
"Stressful work environment","They act like they care about the customers, but all they want are sales. They concentrate on the PNC conversation which centers around clients finances. The goal of this conversation is to get clients to move over their investments to PNC or to sell them a financial service that isn't necessarily needed.","Relationship Manager","Former Employee","Naperville, IL","December 7, 2017","1.0"
"Great place to work","Great training program. The work atmosphere is friendly and inviting. Managers seem genuinely concerned about your performance and agreadvancement. Opportunities for advancement.","Financial Sales Consultant","Former Employee","Chantilly, VA","December 7, 2017","4.0"
"Teller","Not the best environment very complicated for part-time employees to do other things besides work. If you are a student make sure to be flexible as they will not be.","Teller","Current Employee","Clifton, NJ","December 7, 2017","1.0"
"Na","NA 
 No sharing information about a company I no longer work for you want me information get in contact with them by calling local branch or applying onliine.","Business Banking Relationship Manager","Former Employee","Washington, DC","December 7, 2017","5.0"
"Many times the situation could be stressful with Customer service.","This bank was located in a poor area in the city.  Twice while I was there the bank was robbed once with gun and the other a bomb threat.  I enjoyed helping people with their finances as car loans, mortgages, opening savings and checking accounts and assisting our customers with day to day financial needs.","Financial Sales Consultant II","Former Employee","Indianapolis, IN","December 6, 2017","3.0"
"A great place to work.  Pay is good and people are friendly.  I have learned a lot in all different areas of banking from each department I have worke","A great place to work.  Pay is good and people are friendly.  I have learned a lot in all different areas of banking from each department I have worked in.","Treasury Management Sales Associate","Former Employee","Kalamazoo, MI","December 6, 2017","4.0"
"Laid back and Friendly","A typical day at work was opening the branch and assisted customer by opening account, performing teller transactions and etc.
I learned how to navigate through a very unstructured guidelines. It taught me to think outside the box in order to execute completion of projects. 
The culture was somewhat laid back. I would have liked to see more consistency and structure to create a better employee moral.
The most enjoyable part of the job was doing the job itself. I loved being a teller supervisor and leading my example.","Team Lead","Former Employee","Chicago, IL","December 6, 2017","3.0"
"Terrible place to work!!","I worked for pnc for 3+ years and the environment is great, but the management is terrible, the expectations are high and unrealistic. The pay is terrible as well, and fun fact  pnc employees make the same amount as Aldi cashiers (how?). Oh and if you quit or get fired all paid vacation time has to be paid back. The turn over rate for pnc is the highest in Kalamazoo (another fun fact). So if you don't mind having managers look over your shoulder and punish you for every little thing you do and if you're willing to receive the same pay as a cashier for 10x the work than pnc is the place for you. I wouldn't recommend wasting your time. It's not worth the stress and headache.","Customer Service Representative","Former Employee","Kalamazoo, MI","December 5, 2017","1.0"
"Meh","I worked in a call center in Pittsburgh. 
 The Good: 
They offer competitive pay. I was making $16.58 or something like that. The turnover is so bad they almost have to. On that note, you can tell the company is trying really hard to make it a good place to work, so maybe it wasn't at the top of it's game when I left, but it's heading in a really good direction. 
 The Bad: 
You are literally just getting yelled out by customers who can't manage their money and need someone else to blame. What's worse is PNC does not care.","Customer Service Support Representative","Former Employee","Pittsburgh, PA","December 5, 2017","3.0"
"Good place to work","I loved my job but I needed more money so I took a banking job in suburbs....Worst move ever. Money does not trump working for  a company you enjoy working for.","Wire Technician III","Former Employee","Philadephia, PA","December 5, 2017","4.0"
"Great Place to Work","PNC offers ok benefits, but really benefit in the environment.  I feel that the environment is great for creativity and motivation.  Management creates a collective group effort.","II","Former Employee","Pittsburgh, PA","December 5, 2017","4.0"
"Pnc bank","I was a branch manager for 5 years. It was a great place to work until they had a change in the Regional Manager. I left after 5 years of being their due to that change.If not for that reason i feel i would still be there.","Vice President Branch Manager","Former Employee","Cresskill, NJ","December 5, 2017","1.0"
"Good Environment","I enjoyed working for PNC bank and would recommend it.  Although the pay was not great for me as a single mom, it would be good wage for a second income.","Teller","Former Employee","Warsaw, IN","December 5, 2017","5.0"
"Great financial services company, poor pay","Previous role of WorkPlace Sales Consultant in Dayton, Oh had great management and incentive.  PNC changed incentive to poorly focused.  My last role I took due to relocation to Naples, Florida.  Poor management, poor and changing to worse compensation","Branch Sales and Service Representative","Former Employee","Naples, FL","December 5, 2017","3.0"
"Uneducated Management","If they promote within the people they are promoting are lazy and don't know anything about running a branch, audits, or training people. Managers put their work off on other people and if something that they were supposed to do doesn't get done they blame it on the team.","Financial Consultant","Current Employee","Columbia, MD","December 4, 2017","3.0"
"Great","Great work environment. Lots of opportunity to grow especially if you put in the hard work and effort. Senior leadership lets you flourish in a competitive but fun environment","IB Real Estate Finance Analyst","Former Employee","Pittsburgh, PA","December 4, 2017","5.0"
"Enjoyable","Typical days are  fast paced enjoyable with a tremendous amount of opportunities to apply good customer service   , good training, great management and opportunities to grow and required a great amount of   team work","","Former Employee","Southern Pines, NC","December 4, 2017","5.0"
"Personal Banker","PNC was a great company to work for. The attitude was relaxed, the sales goals were minimum and management was friendly. Overall, working at PNC was easy and relaxed.","Service Associate","Former Employee","West Caldwell, NJ","December 3, 2017","5.0"
"daily work","I works about 46 hours a week as a part time employee and then I was promoted to a full time employee after work several months do several others job.  I was a back up teller supervisors.  I did that job on a daily basis before being let go.  I feel I was let go because I said something to management about doing some else's job and not be paid for the position","None","None","Customer Service Associate (Former Employee)","Warren, PA 16365","3.0"
"As a corporation its a great company to work for","Its a good company to work for if you are in a right branch. Higher management is very professional and very supportive. They do provide good training when candidate starts as a teller.","Teller Lead","Former Employee","Philadelphia, PA","December 3, 2017","5.0"
"Friends at work","The ladies at PNC would always make sure you are doing well and loved to make work a fun yet professional environment. I would have stayed there long-term if it had not been a short-term contract position.","Teller","Former Employee","Kill Devil Hills, NC","December 2, 2017","5.0"
"Lovely employer and fellow staff, difficult to work as a single income family.","Love my coworkers and the clientele but the income is not enough to sustain myself and children, as a single income household.  There is room for advancement and great benefits.","Teller","Current Employee","Aurora, IL","December 1, 2017","4.0"
"Great place to work","I came into banking with no experience and have learned so much in my 2 years here. I would like to move to the underwriting side of banking but unfortunately that would be relocating to a different state.","Branch Sales and Service Associate","Current Employee","Melbourne, FL","December 1, 2017","4.0"
"Great benefits, poor communication","The company treats their employees well as far as benefits and vacation, but they do not communicate well from the higher executives down to the management teams that you see in branches. The execs create extremely unrealistic goals because they are unaware of what it is really like to work in the branches. Then the management teams are browbeaten for not meeting said goals and it trickles down to how they treat their employees.","Service Representative","Current Employee","Virginia","December 1, 2017","3.0"
"Nice company to work with","is a good company to work for. They have great benefits, atmosphere, flexibility, work-life balance and the people are friendly. There are opportunities to move around and potentially upward within the company. I wish there were more companies like this one around.","QA Analyst","Current Employee","E7Y","November 30, 2017","5.0"
"Teller responsibilities are achievable, but skewed.","Although there was a 'typical day' expectation, a typical day was rather rare. Pushing sales and dealing with off-loaded phone calls added great stress to the day's rhythm.
 Be sure to keep your personal life absent. Diversity is lauded, until it is demonstrated. PNC prefers robots; and that is what is expected.
 Prepare to be bullied - at great length. Do not share challenges, as they will become obstacles. Smile, be polite, and lie: These are the qualities that PNC prefers.","Teller II","Former Employee","Virginia","November 30, 2017","1.0"
"very good place to work","working with PNC was a great honor for me. I really enjoyed working there. I learned so many new things from that job. this job was really challenging for me but I was able to succeed.","QUALITY ANALYST","Former Employee","Cleveland, OH","November 29, 2017","5.0"
"Great group of people","Typical day at work : Send memos to customers , send checks , key rebates.  Run Exception reporting answer phone calls etc
 The most enjoyable part of my job are the co workers. A great group of people","Senior Loan Support Specialist II","Current Employee","Kalamazoo, MI","November 29, 2017","5.0"
"Meh","There's ok room for advancement even though they make you feel like there is. The company is really uptight and they say it's for the customer experience but it puts undue stress on employees","REPRESENTATIVE II","Former Employee","Pittsburgh, PA","November 29, 2017","4.0"
"Fast paced halftime, poor management","the management at the branch I was placed was horrible. I was never trained in the branch. There's no direction or guidance at all. I learned through trial and error. The day moves pretty slow and many tasks aren't that hard but all the inside information, like rules and policies, and branch codes and safety wasn't taught to me and is essential for doing the job. Which makes my job harder. Also the hours were terrible for a part time worker","Teller","Current Employee","Washington, DC","November 29, 2017","3.0"
"Good place to work","Good place to work.  Just needed  a better pay.  Managers decisions are ethical and practical. Great place as far as being rewarding. They do value their employees. Loved my Coworkers.","Branch Financial Sales Consultant","Former Employee","Cranberry Township, PA","November 29, 2017","4.0"
"Bad Management","Working at PNC probably wouldn't have been as terrible of an experience if there was better management. My manager claims to care about the feelings and well-being of the other employees but is constantly proving otherwise by her actions.","Teller","Current Employee","Butler, PA","November 28, 2017","3.0"
"Good people but poor work life balance","The people that work for the mortgage company are very good.  Positions in management have poor work/life balance as there is no away from the office.  Technology is not very good so have to compensate with more time to fix systems","None","None","Investor Operations Group Manager (Former Employee)","Miamisburg, OH","4.0"
"Pnc bank","Great company to start out with and look to advance through out the company. Clients are great but are probably different in south than they are in the north. Management is a shot in the dark because some are great at their jobs and others need some coaching.","Service Associate","Current Employee","Cumming, GA","November 27, 2017","4.0"
"Sales focused","I enjoyed working here with my customers and employees. My manager was helpful and there for support as well. I was recognized often for my work and given the opportunity to move up in the company. I learned allot from my manager and co managers as well. I would like to go back if the opportunity arose again for me.","AVP Branch Manager","Former Employee","Loves Park, IL 61111","November 27, 2017","5.0"
"horrible place to work","This is the most negative place you will ever work.
They care about the money and nothing else.
The pay is very non competitive and they take pride in their extremely high turn over rates.","Business Sales Service Representative","Current Employee","harford co md","November 27, 2017","1.0"
"Community based work place","PNC provided opportunities for growth and education within the company. They had several events available to employee involvement in their communities. They also allowed for time off to volunteer in your local community.","Hazard Loss Claims Supervisor","Former Employee","Miamisburg, OH","November 26, 2017","3.0"
"Pnc great place","PNC Bank is a great place to work and has a very good work/life balance when advocating for it's employee's. PNC also offers wonderful benefits and focus on each employee.","Financial Consultant","Current Employee","Kirkwood, MO","November 26, 2017","4.0"
"Pnc","PNC is a quality employer to begin a career with. It may be challenging to receive market compensation commensurate with job titles as you move up in the company.","Senior Finance Analyst","Current Employee","Pittsburgh, PA","November 25, 2017","4.0"
"Nice place to work","Worked from home mostly.  Would make phone calls and start entering loan information.
I learned this new computer system that was much easier that others.   It was most enjoyable.
Management was extremely helpful.  They were always there to helf.
 This company is very organized.
 The hardest/best part of the job was visiting my branches the first time.  Everyone was very helpful.
 I was sad to leave but I needed to make more money
 The most enjoyable part of the job was the few friends that I met there.","Mortgage Loan Originator","Former Employee","Langhorne, PA","November 25, 2017","5.0"
"underpaid","management will terminate you from pure jealousy. long hours and will cut the opportunity of you making overtime just so management can receive large bonuses.","Service Associate","Current Employee","Cincinnati, OH","November 24, 2017","1.0"
